sample	r_nnls	r_simplex	l1	l2
CLM2	0.00129560041384042	0.00184614781123409	0.000355830804093515	0.000230364375509521
CLM4	0.00122899194923265	0.00178912204716887	0.000318737243123833	0.000196663199018443
CLM5	0.0000271476299037206	0.0000116145851902544	0.000301891837104891	0.000175292337176404
CLM6	0.0000493107025291315	0.000184841685647393	0.000680128310246294	0.00032219645920154
CLM8	0.000162820962277708	0.000356847443853157	0.0000420399396475757	0.0000226711162126268
CLM9	0.000187618976516699	0.000410520936908293	0.00035209170686494	0.000195899516901374
CLM11	0.0000141469642685175	0.000027091557173752	0.000487754669084371	0.000260711898980913
CLM12	0.000509167615894284	0.000863262387886404	0.000505986497511782	0.000309121817823524
CLM13	0.000115986606013899	0.00032890924282502	0.000419699872045584	0.000243145417840572
CLM14	0.000176275935621619	0.0000451674990583513	0.000337202052390122	0.000169979344468866
CLM16	0.000166433276606288	0.000374590911963925	0.000278536002378343	0.000166951295433495
CLM17	0.00140660721275498	0.00195631691077349	0.00015241203139079	0.0000892412801707012
CLM19	0.00053442943383077	0.00083367809449326	0.000366456270759929	0.000220938462995118
CLM20	0.0000799690606635401	0.000246760958276874	0.000177731045936512	0.000103867851351265
CLM22	0.000095314892788748	0.000238007290568737	0.000132839895164369	0.0000781588695479934
CLM23	0.0000256709432698533	0.000128308795562718	0.0000910537051831833	0.0000459540832577337
CLM24	0.0000405814663484097	0.00000477290134686307	0.000212753860754161	0.000103507417770598
CLM26	0.000153669051073044	0.00035663641624997	0.000470469241372771	0.000251718018481836
CLM27	0.00119432556740068	0.00172210804731227	0.000239572182825623	0.000137245497798017
CLM29	0.000162929592511837	0.000393939799325482	0.0000891192111213968	0.0000547510470965766
CLM30	0.000345024843820905	0.000598847500357666	0.0000865854027777141	0.0000543849455862143
CLM32	0.00146529370419362	0.00206346178859378	0.000528820856400741	0.000322779785397606
CLM33	0.000149018265294647	0.0000466050814347547	0.000237195167505885	0.000134141693393317
CLM35	0.00141363651475105	0.00200308028439462	0.000583191095628738	0.000365914661425296
CLM36	0.00030602324904824	0.000550752681279527	0.000177879446482065	0.000105202897470688
CLM38	0.000729808287694184	0.00112628328127359	0.000419068845975964	0.00025437169410483
CLM39	0.000170998696816772	0.000389972692215431	0.0000854665620790146	0.0000541691311022623
CLM40	0.000277808129341366	0.000116766723331335	0.000162661445536985	0.0000799794641828862
CLM43	0.0000254138365547627	0.000157310144660084	0.000179603276004973	0.000118764170427523
CLM45	0.000373246441631391	0.000687726047149231	0.000182604252901775	0.000093800277158408
CLM48	0.0000394145134368272	0.00000610823368948706	0.000386138143151348	0.000233862243701269
CLM49	0.000131854791172651	0.000339274071075344	0.00117217005549652	0.000623600835615532
CLM50	0.000809354843704459	0.00123563305708613	0.0000679531690268298	0.0000438700893872193
CLM51	0.0000404817100522226	0.000153888908217765	0.000212582653173303	0.000123085450752495
CLM52	0.0000601774357322086	0.000142949988309197	0.000468577251895119	0.000233736662827982
CLM54	0.0000135366135666495	0.0000980247635542982	0.000192763334595131	0.000109644142872083
CLM55	0.000194439258207679	0.000435759720921206	0.00108556621543908	0.000540560509860037
CLM58	0.000200167549424862	0.000437735013486508	0.000265093386867685	0.000159969844573388
